startContr,mcSz,mcSf,mcBv,mcBsf,mcPeriFade,mcContr,mcBtheta,mcOri,targSz,targSf,targOri1,targOri2,targXoff1,targXoff2,targYoff,targV,targTtot,targTpeak,fixCross,trialT,nRevs,targEyeR
-2,256,0.1,0.6,0.05,8,1,100,0,28,0.1,90,90,-70,70,0,0,1,0.5,1,1,2,0
0,256,0.1,0.6,0.05,8,1,100,0,28,0.1,90,90,-70,70,0,0,1,0.5,1,1,2,0
-2,256,0.1,0.6,0.05,8,1,100,0,28,0.1,90,90,-70,70,0,0,1,0.5,1,1,2,1
0,256,0.1,0.6,0.05,8,1,100,0,28,0.1,90,90,-70,70,0,0,1,0.5,1,1,2,1
